Product ID	Variant ID	Product Type	Restaurant Name	Category	Name	Description	Price	On Sale	Sale Price	Stock	Visible
6314c24a8fa7f80b1bd47c58	feed16db-8978-4df1-b24a-596b10298efc	Regular	alans-bakery	/Mini cupcakes 12 pack	MINI Smiley FACE Cupcakes	12 in a pack	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c43	c0732376-4c5c-4c84-9a1f-afe6e84b6b67	Regular	alans-bakery	/Mini cupcakes 12 pack	MINI Sprinkle Cupcakes	12 in a pack; Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47d05	8bd6a61a-1530-428b-97d7-1755c06c586d	Regular	alans-bakery	/Bakery Cookies	MINI Sprinkled Cookies	Baked fresh by Alan, packaged by Glick's	8.39	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cd8	4310dd42-132f-4d65-bde2-36cbe6b344dd	Regular	alans-bakery	/Fruit Pies	MIX PIE	Apple, Blueberry, and Cherry 7-8 inches; Baked fresh by Alan, packaged by Glick's	11.99	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47ced	dbc27398-e4a1-4fa4-8dc1-e05e87071088	Regular	alans-bakery	/Fancy cream pies	MUD PIES	9 inches (fancy); Baked fresh by Alan, Packaged by Glick's	14.39	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d48	16695f93-fc76-405e-baa1-be6c3fd5241f	Regular	alans-bakery	/Soft Cookies	Oatmeal Cranberry Cookies	Baked fresh by Alan, packaged by Glick's	8.39	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d4d	8e0e014b-eab9-4f15-bd49-e123b942f615	Regular	alans-bakery	/Soft Cookies	Oatmeal Raisin Cookies	Baked fresh by Alan, packaged by Glick's	8.39	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c7e	2cacabb1-25da-48d5-9976-e513a985b791	Regular	alans-bakery	/Large Cupcakes	PINK Cupcakes	6 in a pack; Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c33	511a33f8-4aa1-4cb1-9929-5732749c2456	Regular	alans-bakery	/Pound cakesloafs	PLAIN Philly FLUFF CAKE	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47ca3	8faf2466-d2df-479e-b45c-f4ab32a05c94	Regular	alans-bakery	/Munchkins	Powdered SUGAR Munchkins	Baked fresh by Alan, packaged by Glick's	7.19	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d62	8eefa269-be74-440b-ad33-c486f9bb73ac	Regular	alans-bakery	/Challahs and Rolls	PULL a PART EGG Challah	Large pull-a-part egg challah	7.5	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d76	6f361586-7286-4c73-bcf2-87aef1d1d207	Regular	alans-bakery	/Challahs and Rolls	PULL a PART WHOLE WHEAT Challah	Large pull-a-part whole wheat challah	7.5	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cf8	c1b29d52-aee9-49dc-9d1f-69404f25da37	Regular	alans-bakery	/Bakery Cookies	Rainbow Sprinkled Cookies	Baked fresh by Alan, packaged by Glick's	8.39	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cae	b83ed179-a020-407f-9e77-a02371ef306c	Regular	alans-bakery	/Munchkins	Chocolate Filled Munchkins	Baked fresh by Alan, packaged by Glick's	7.19	No	0	Unlimited	Yes
